Number,Title,Difficulty,Status[^status],Time[^time],Classification,Mastery[^mastery]
1,twoSum,Easy,[AC](./code/Solution_0001_twoSum.py),2020/12/4,Array,¡ï¡ï¡ï¡î¡î
2,addTwoNumbers,Medium,[AC](./code/Solution_0002_addTwoNumbers.py),2020/12/4,Linked List,¡ï¡ï¡ï¡ï¡î
3,lengthOfLongestSubstring,Medium,[AC](./code/Solution_0003_lengthOfLongestSubstring.py),2020/12/4,Hash,¡ï¡î¡î¡î¡î
4,findMedianSortedArrays,Hard,[AC](./code/Solution_0004_findMedianSortedArrays.py),2020/12/4,---,---[^unknown]
5,longestPalindrome,Medium,[AC](./code/Solution_0005_longestPalindrome.py),2020/12/5,---,---
6,convert,Medium,[AC](./code/Solution_0006_convert.py),2020/12/5,---,---
7,reverse,Easy,[AC](./code/Solution_0007_reverse.py),2020/12/5,---,---
8,myAtoi,Medium,[AC](./code/Solution_0008_myAtoi.py),2020/12/5,---,---
9,isPalindrome,Easy,[AC](./code/Solution_0009_isPalindrome.py),2020/12/6,---,---
10,isMatch,Hard,[AC](./code/Solution_0010_isMatch.py),2021/10/26,DP,¡ï¡ï¡î¡î¡î
11,maxArea,Medium,[AC](./code/Solution_0011_maxArea.py),2020/12/7,---,---
12,intToRoman,Medium,[AC](./code/Solution_0012_intToRoman.py),2020/12/7,---,---
13,romanToInt,Easy,[AC](./code/Solution_0013_romanToInt.py),2020/12/7,---,---
14,longestCommonPrefix,Easy,[AC](./code/Solution_0014_longestCommonPrefix.py),2020/12/7,---,---
15,threeSum,Medium,[AC](./code/Solution_0015_threeSum.py),2020/12/7,---,---
16,threeSumClosest,Medium,[AC](./code/Solution_0016_threeSumClosest.py),2020/12/8,---,---
17,letterCombinations,Medium,[AC](./code/Solution_0017_letterCombinations.py),2021/9/30,---,---
18,fourSum,Medium,[AC](./code/Solution_0018_fourSum.py),2021/10/25,Array,¡ï¡ï¡î¡î¡î
19,removeNthFromEnd,Medium,[AC](./code/Solution_0019_removeNthFromEnd.py),2021/8/14,---,---
20,isValid,Easy,[AC](./code/Solution_0020_isValid.py),2021/8/10,---,---
21,mergeTwoLists,Easy,[AC](./code/Solution_0021_mergeTwoLists.py),2021/9/27,---,---
22,generateParenthesis,Medium,[AC](./code/Solution_0022_generateParenthesis.py),2021/9/30,---,---
23,mergeKLists,Hard,[AC](./code/Solution_0023_mergeKLists.py),2021/9/27,---,---
24,swapPairs,Medium,[AC](./code/Solution_0024_swapPairs.py),2021/9/29,---,---
25,reverseKGroup,Hard,[AC](./code/Solution_0025_reverseKGroup.py),2021/10/1,---,---
26,removeDuplicates,Easy,[AC](./code/Solution_0026_removeDuplicates.py),2021/8/15,---,---
27,removeElement,Easy,[AC](./code/Solution_0027_removeElement.py),2021/8/15,---,---
28,strStr,Easy,[AC](./code/Solution_0028_strStr.py),2021/8/17,---,---
29,divide,Medium,[AC](./code/Solution_0029_divide.py),2021/10/12,Bit,¡ï¡î¡î¡î¡î
30,findSubstring,Hard,[AC](./code/Solution_0030_findSubstring.py),2021/10/1,---,---
31,nextPermutation,Medium,[AC](./code/Solution_0031_nextPermutation.py),2021/9/30,---,---
32,longestValidParentheses,Hard,[AC](./code/Solution_0032_longestValidParentheses.py),2021/9/25,---,---
33,search,Medium,[AC](./code/Solution_0033_search.py),2021/9/30,---,---
34,searchRange,Medium,[AC](./code/Solution_0034_searchRange.py),2021/9/30,---,---
35,searchInsert,Easy,[AC](./code/Solution_0035_searchInsert.py),2021/8/17,---,---
36,isValidSudoku,Medium,[AC](./code/Solution_0036_isValidSudoku.py),2021/10/1,---,---
37,solveSudoku,Hard,[AC](./code/Solution_0037_solveSudoku.py),2021/10/1,---,---
38,countAndSay,Medium,[AC](./code/Solution_0038_countAndSay.py),2021/10/1,---,---
39,combinationSum,Medium,[AC](./code/Solution_0039_combinationSum.py),2021/9/30,---,---
40,combinationSum2,Medium,[AC](./code/Solution_0040_combinationSum2.py),2021/9/30,---,---
41,firstMissingPositive,Hard,[AC](./code/Solution_0041_firstMissingPositive.py),2021/10/1,---,---
42,trap,Hard,[AC](./code/Solution_0042_trap.py),2021/9/26,---,---
43,multiply,Medium,[AC](./code/Solution_0043_multiply.py),2021/10/1,---,---
44,isMatch,Hard,[AC](./code/Solution_0044_isMatch.py),2021/10/27,DP,¡ï¡ï¡ï¡î¡î
45,jump,Medium,[AC](./code/Solution_0045_jump.py),2021/10/2,---,---
46,permute,Medium,[AC](./code/Solution_0046_permute.py),2021/9/5,---,---
47,permuteUnique,Medium,[AC](./code/Solution_0047_permuteUnique.py),2021/9/30,---,---
48,rotate,Medium,[AC](./code/Solution_0048_rotate.py),2021/10/2,---,---
49,groupAnagrams,Medium,[AC](./code/Solution_0049_groupAnagrams.py),2021/10/4,Hash,¡ï¡ï¡ï¡ï¡î
50,myPow,Medium,[AC](./code/Solution_0050_myPow.py),2021/10/5,Array,¡ï¡ï¡ï¡ï¡ï
